order_id,status,stage,date
ORD-001,COMPLETE,COMPLETE,2026/2/10
ORD-002,IN_PROGRESS,WASHING,2026/3/23
ORD-003,COMPLETE,COMPLETE,2026/2/27
ORD-004,COMPLETE,COMPLETE,2026/2/27
ORD-005,IN_PROGRESS,ORDERED,2026/3/21
ORD-005,IN_PROGRESS,KNITTING,2026/3/24
ORD-006,COMPLETE,COMPLETE,2026/2/4
ORD-007,COMPLETE,COMPLETE,2026/2/13
ORD-008,IN_PROGRESS,ORDERED,2026/3/23
ORD-008,IN_PROGRESS,KNITTING,2026/3/31
ORD-009,COMPLETE,COMPLETE,2026/1/31
ORD-010,IN_PROGRESS,ORDERED,2026/3/24
ORD-010,IN_PROGRESS,KNITTING,2026/3/30
ORD-011,COMPLETE,COMPLETE,2026/3/12
ORD-012,COMPLETE,COMPLETE,2026/3/8
ORD-013,COMPLETE,COMPLETE,2026/3/17
ORD-014,COMPLETE,COMPLETE,2026/3/23
ORD-015,IN_PROGRESS,ORDERED,2026/3/23
ORD-015,IN_PROGRESS,KNITTING,2026/3/28
ORD-015,IN_PROGRESS,ASSEMBLY,2026/3/30
ORD-016,COMPLETE,COMPLETE,2026/3/8
ORD-017,IN_PROGRESS,ORDERED,2026/3/23
ORD-017,IN_PROGRESS,KNITTING,2026/4/1
ORD-018,COMPLETE,COMPLETE,2026/2/27
ORD-019,IN_PROGRESS,ORDERED,2026/3/2
ORD-019,IN_PROGRESS,KNITTING,2026/3/25
ORD-019,IN_PROGRESS,ASSEMBLY,2026/3/26
ORD-019,IN_PROGRESS,WASHING,2026/3/27
ORD-019,IN_PROGRESS,PACKING,2026/3/28
ORD-019,COMPLETE,COMPLETE,2026/3/29
ORD-020,IN_PROGRESS,ORDERED,2026/3/8
ORD-020,IN_PROGRESS,KNITTING,2026/3/26
ORD-020,IN_PROGRESS,ASSEMBLY,2026/3/27
ORD-020,IN_PROGRESS,WASHING,2026/3/30
ORD-021,COMPLETE,COMPLETE,2026/2/13
ORD-022,COMPLETE,COMPLETE,2026/2/24
ORD-023,COMPLETE,COMPLETE,2026/3/3
ORD-024,IN_PROGRESS,ORDERED,2026/3/24
ORD-024,IN_PROGRESS,KNITTING,2026/3/31
ORD-024,IN_PROGRESS,ASSEMBLY,2026/4/1
ORD-025,COMPLETE,COMPLETE,2026/1/23
ORD-026,COMPLETE,COMPLETE,2026/2/5
ORD-027,COMPLETE,COMPLETE,2026/3/16
ORD-028,COMPLETE,COMPLETE,2026/2/4
ORD-029,IN_PROGRESS,ORDERED,2026/3/10
ORD-029,IN_PROGRESS,KNITTING,2026/3/27
ORD-029,IN_PROGRESS,ASSEMBLY,2026/3/30
ORD-029,IN_PROGRESS,WASHING,2026/4/1
ORD-030,IN_PROGRESS,ORDERED,2026/2/28
ORD-030,IN_PROGRESS,KNITTING,2026/3/24
ORD-030,IN_PROGRESS,ASSEMBLY,2026/3/25
ORD-030,IN_PROGRESS,WASHING,2026/3/26
ORD-030,IN_PROGRESS,PACKING,2026/3/27
ORD-030,COMPLETE,COMPLETE,2026/3/28
ORD-031,IN_PROGRESS,ASSEMBLY,2026/3/23
ORD-031,IN_PROGRESS,WASHING,2026/3/24
ORD-031,IN_PROGRESS,PACKING,2026/3/25
ORD-031,COMPLETE,COMPLETE,2026/3/26
ORD-032,COMPLETE,COMPLETE,2026/3/17
ORD-033,COMPLETE,COMPLETE,2026/3/15
ORD-034,COMPLETE,COMPLETE,2026/3/19
ORD-035,IN_PROGRESS,ORDERED,2026/3/25
ORD-035,IN_PROGRESS,KNITTING,2026/4/1
ORD-036,IN_PROGRESS,ORDERED,2026/3/22
ORD-036,IN_PROGRESS,KNITTING,2026/3/31
ORD-037,COMPLETE,COMPLETE,2026/3/20
ORD-038,COMPLETE,COMPLETE,2026/2/9
ORD-039,COMPLETE,COMPLETE,2026/2/10
ORD-040,IN_PROGRESS,ORDERED,2026/3/25
ORD-040,IN_PROGRESS,KNITTING,2026/4/1
ORD-041,IN_PROGRESS,ORDERED,2026/3/19
ORD-041,IN_PROGRESS,KNITTING,2026/3/30
ORD-041,IN_PROGRESS,ASSEMBLY,2026/3/31
ORD-041,IN_PROGRESS,WASHING,2026/4/1
ORD-042,COMPLETE,COMPLETE,2026/2/25
ORD-043,COMPLETE,COMPLETE,2026/2/21
ORD-044,IN_PROGRESS,ASSEMBLY,2026/3/23
ORD-044,IN_PROGRESS,WASHING,2026/3/24
ORD-044,IN_PROGRESS,PACKING,2026/3/25
ORD-044,COMPLETE,COMPLETE,2026/3/26
ORD-045,IN_PROGRESS,ORDERED,2026/3/21
ORD-045,IN_PROGRESS,KNITTING,2026/3/27
ORD-045,IN_PROGRESS,ASSEMBLY,2026/3/28
ORD-045,IN_PROGRESS,WASHING,2026/3/30
ORD-046,COMPLETE,COMPLETE,2026/3/9
ORD-047,COMPLETE,COMPLETE,2026/2/22
ORD-048,COMPLETE,COMPLETE,2026/3/13
ORD-049,COMPLETE,COMPLETE,2026/1/30
ORD-050,COMPLETE,COMPLETE,2026/2/28
ORD-051,COMPLETE,COMPLETE,2026/2/9
ORD-052,COMPLETE,COMPLETE,2026/2/12
ORD-053,IN_PROGRESS,ORDERED,2026/3/21
ORD-053,IN_PROGRESS,KNITTING,2026/3/30
ORD-053,IN_PROGRESS,ASSEMBLY,2026/3/31
ORD-054,IN_PROGRESS,ORDERED,2026/2/20
ORD-054,IN_PROGRESS,KNITTING,2026/3/25
ORD-054,IN_PROGRESS,ASSEMBLY,2026/3/26
ORD-054,IN_PROGRESS,WASHING,2026/3/27
ORD-054,IN_PROGRESS,PACKING,2026/3/28
ORD-054,COMPLETE,COMPLETE,2026/3/29
ORD-055,IN_PROGRESS,ORDERED,2026/3/15
ORD-055,IN_PROGRESS,KNITTING,2026/3/31
ORD-055,IN_PROGRESS,ASSEMBLY,2026/4/1
ORD-056,COMPLETE,COMPLETE,2026/2/3
ORD-057,COMPLETE,COMPLETE,2026/1/25
ORD-058,COMPLETE,COMPLETE,2026/3/12
ORD-059,COMPLETE,COMPLETE,2026/2/15
ORD-060,IN_PROGRESS,KNITTING,2026/3/23
ORD-060,IN_PROGRESS,ASSEMBLY,2026/3/24
ORD-060,IN_PROGRESS,WASHING,2026/3/25
ORD-060,IN_PROGRESS,PACKING,2026/3/26
ORD-060,COMPLETE,COMPLETE,2026/3/27
ORD-061,IN_PROGRESS,ORDERED,2026/3/12
ORD-061,IN_PROGRESS,KNITTING,2026/3/27
ORD-061,IN_PROGRESS,ASSEMBLY,2026/3/28
ORD-061,IN_PROGRESS,WASHING,2026/3/30
ORD-062,IN_PROGRESS,ORDERED,2026/3/22
ORD-062,IN_PROGRESS,KNITTING,2026/3/31
ORD-063,IN_PROGRESS,ORDERED,2026/3/27
ORD-063,IN_PROGRESS,KNITTING,2026/3/30
ORD-064,COMPLETE,COMPLETE,2026/2/9
ORD-065,COMPLETE,COMPLETE,2026/2/1
ORD-066,IN_PROGRESS,ORDERED,2026/3/22
ORD-066,IN_PROGRESS,KNITTING,2026/3/28
ORD-066,IN_PROGRESS,ASSEMBLY,2026/3/30
ORD-067,COMPLETE,COMPLETE,2026/2/15
ORD-068,COMPLETE,COMPLETE,2026/3/4
ORD-069,IN_PROGRESS,ORDERED,2026/3/11
ORD-069,IN_PROGRESS,KNITTING,2026/3/25
ORD-069,IN_PROGRESS,ASSEMBLY,2026/3/26
ORD-069,IN_PROGRESS,WASHING,2026/3/27
ORD-069,IN_PROGRESS,PACKING,2026/3/28
ORD-069,COMPLETE,COMPLETE,2026/3/30
ORD-070,COMPLETE,COMPLETE,2026/2/9
ORD-071,COMPLETE,COMPLETE,2026/2/25
ORD-072,COMPLETE,COMPLETE,2026/2/18
