date,stage,pieces_completed
2026-01-01,KNITTING,1027
2026-01-01,ASSEMBLY,836
2026-01-01,WASHING,795
2026-01-01,PACKING,699
2026-01-02,KNITTING,997
2026-01-02,ASSEMBLY,785
2026-01-02,WASHING,615
2026-01-02,PACKING,606
2026-01-03,KNITTING,811
2026-01-03,ASSEMBLY,718
2026-01-03,WASHING,643
2026-01-03,PACKING,568
2026-01-04,KNITTING,0
2026-01-04,ASSEMBLY,0
2026-01-04,WASHING,0
2026-01-04,PACKING,0
2026-01-05,KNITTING,861
2026-01-05,ASSEMBLY,773
2026-01-05,WASHING,601
2026-01-05,PACKING,595
2026-01-06,KNITTING,1017
2026-01-06,ASSEMBLY,734
2026-01-06,WASHING,598
2026-01-06,PACKING,670
2026-01-07,KNITTING,933
2026-01-07,ASSEMBLY,878
2026-01-07,WASHING,728
2026-01-07,PACKING,711
2026-01-08,KNITTING,790
2026-01-08,ASSEMBLY,719
2026-01-08,WASHING,765
2026-01-08,PACKING,566
2026-01-09,KNITTING,849
2026-01-09,ASSEMBLY,812
2026-01-09,WASHING,765
2026-01-09,PACKING,721
2026-01-10,KNITTING,947
2026-01-10,ASSEMBLY,751
2026-01-10,WASHING,632
2026-01-10,PACKING,611
2026-01-11,KNITTING,0
2026-01-11,ASSEMBLY,0
2026-01-11,WASHING,0
2026-01-11,PACKING,0
2026-01-12,KNITTING,1026
2026-01-12,ASSEMBLY,695
2026-01-12,WASHING,650
2026-01-12,PACKING,567
2026-01-13,KNITTING,988
2026-01-13,ASSEMBLY,881
2026-01-13,WASHING,612
2026-01-13,PACKING,566
2026-01-14,KNITTING,838
2026-01-14,ASSEMBLY,734
2026-01-14,WASHING,609
2026-01-14,PACKING,610
2026-01-15,KNITTING,853
2026-01-15,ASSEMBLY,752
2026-01-15,WASHING,710
2026-01-15,PACKING,724
2026-01-16,KNITTING,806
2026-01-16,ASSEMBLY,738
2026-01-16,WASHING,733
2026-01-16,PACKING,610
2026-01-17,KNITTING,1012
2026-01-17,ASSEMBLY,823
2026-01-17,WASHING,636
2026-01-17,PACKING,674
2026-01-18,KNITTING,0
2026-01-18,ASSEMBLY,0
2026-01-18,WASHING,0
2026-01-18,PACKING,0
2026-01-19,KNITTING,902
2026-01-19,ASSEMBLY,685
2026-01-19,WASHING,732
2026-01-19,PACKING,613
2026-01-20,KNITTING,929
2026-01-20,ASSEMBLY,825
2026-01-20,WASHING,762
2026-01-20,PACKING,722
2026-01-21,KNITTING,987
2026-01-21,ASSEMBLY,841
2026-01-21,WASHING,668
2026-01-21,PACKING,624
2026-01-22,KNITTING,793
2026-01-22,ASSEMBLY,908
2026-01-22,WASHING,765
2026-01-22,PACKING,727
2026-01-23,KNITTING,874
2026-01-23,ASSEMBLY,707
2026-01-23,WASHING,649
2026-01-23,PACKING,659
2026-01-24,KNITTING,786
2026-01-24,ASSEMBLY,690
2026-01-24,WASHING,656
2026-01-24,PACKING,695
2026-01-25,KNITTING,0
2026-01-25,ASSEMBLY,0
2026-01-25,WASHING,0
2026-01-25,PACKING,0
2026-01-26,KNITTING,961
2026-01-26,ASSEMBLY,735
2026-01-26,WASHING,680
2026-01-26,PACKING,735
2026-01-27,KNITTING,959
2026-01-27,ASSEMBLY,713
2026-01-27,WASHING,749
2026-01-27,PACKING,599
2026-01-28,KNITTING,801
2026-01-28,ASSEMBLY,890
2026-01-28,WASHING,686
2026-01-28,PACKING,746
2026-01-29,KNITTING,791
2026-01-29,ASSEMBLY,703
2026-01-29,WASHING,718
2026-01-29,PACKING,626
2026-01-30,KNITTING,937
2026-01-30,ASSEMBLY,895
2026-01-30,WASHING,776
2026-01-30,PACKING,737
2026-01-31,KNITTING,837
2026-01-31,ASSEMBLY,766
2026-01-31,WASHING,711
2026-01-31,PACKING,567
2026-02-01,KNITTING,0
2026-02-01,ASSEMBLY,0
2026-02-01,WASHING,0
2026-02-01,PACKING,0
2026-02-02,KNITTING,765
2026-02-02,ASSEMBLY,847
2026-02-02,WASHING,623
2026-02-02,PACKING,589
2026-02-03,KNITTING,854
2026-02-03,ASSEMBLY,807
2026-02-03,WASHING,720
2026-02-03,PACKING,723
2026-02-04,KNITTING,868
2026-02-04,ASSEMBLY,777
2026-02-04,WASHING,716
2026-02-04,PACKING,721
2026-02-05,KNITTING,876
2026-02-05,ASSEMBLY,785
2026-02-05,WASHING,769
2026-02-05,PACKING,587
2026-02-06,KNITTING,781
2026-02-06,ASSEMBLY,736
2026-02-06,WASHING,790
2026-02-06,PACKING,689
2026-02-07,KNITTING,882
2026-02-07,ASSEMBLY,918
2026-02-07,WASHING,668
2026-02-07,PACKING,689
2026-02-08,KNITTING,0
2026-02-08,ASSEMBLY,0
2026-02-08,WASHING,0
2026-02-08,PACKING,0
2026-02-09,KNITTING,990
2026-02-09,ASSEMBLY,754
2026-02-09,WASHING,770
2026-02-09,PACKING,662
2026-02-10,KNITTING,967
2026-02-10,ASSEMBLY,696
2026-02-10,WASHING,774
2026-02-10,PACKING,734
2026-02-11,KNITTING,801
2026-02-11,ASSEMBLY,702
2026-02-11,WASHING,645
2026-02-11,PACKING,633
2026-02-12,KNITTING,866
2026-02-12,ASSEMBLY,859
2026-02-12,WASHING,752
2026-02-12,PACKING,609
2026-02-13,KNITTING,818
2026-02-13,ASSEMBLY,702
2026-02-13,WASHING,797
2026-02-13,PACKING,562
2026-02-14,KNITTING,1004
2026-02-14,ASSEMBLY,779
2026-02-14,WASHING,801
2026-02-14,PACKING,635
2026-02-15,KNITTING,0
2026-02-15,ASSEMBLY,0
2026-02-15,WASHING,0
2026-02-15,PACKING,0
2026-02-16,KNITTING,852
2026-02-16,ASSEMBLY,875
2026-02-16,WASHING,730
2026-02-16,PACKING,723
2026-02-17,KNITTING,922
2026-02-17,ASSEMBLY,786
2026-02-17,WASHING,685
2026-02-17,PACKING,562
2026-02-18,KNITTING,862
2026-02-18,ASSEMBLY,715
2026-02-18,WASHING,764
2026-02-18,PACKING,700
2026-02-19,KNITTING,864
2026-02-19,ASSEMBLY,727
2026-02-19,WASHING,618
2026-02-19,PACKING,697
2026-02-20,KNITTING,883
2026-02-20,ASSEMBLY,710
2026-02-20,WASHING,618
2026-02-20,PACKING,573
2026-02-21,KNITTING,885
2026-02-21,ASSEMBLY,687
2026-02-21,WASHING,793
2026-02-21,PACKING,554
2026-02-22,KNITTING,0
2026-02-22,ASSEMBLY,0
2026-02-22,WASHING,0
2026-02-22,PACKING,0
2026-02-23,KNITTING,974
2026-02-23,ASSEMBLY,720
2026-02-23,WASHING,685
2026-02-23,PACKING,724
2026-02-24,KNITTING,1018
2026-02-24,ASSEMBLY,711
2026-02-24,WASHING,668
2026-02-24,PACKING,702
2026-02-25,KNITTING,786
2026-02-25,ASSEMBLY,706
2026-02-25,WASHING,756
2026-02-25,PACKING,560
2026-02-26,KNITTING,1009
2026-02-26,ASSEMBLY,725
2026-02-26,WASHING,649
2026-02-26,PACKING,711
2026-02-27,KNITTING,994
2026-02-27,ASSEMBLY,725
2026-02-27,WASHING,715
2026-02-27,PACKING,742
2026-02-28,KNITTING,1032
2026-02-28,ASSEMBLY,808
2026-02-28,WASHING,647
2026-02-28,PACKING,744
2026-03-01,KNITTING,0
2026-03-01,ASSEMBLY,0
2026-03-01,WASHING,0
2026-03-01,PACKING,0
2026-03-02,KNITTING,767
2026-03-02,ASSEMBLY,782
2026-03-02,WASHING,780
2026-03-02,PACKING,676
2026-03-03,KNITTING,852
2026-03-03,ASSEMBLY,687
2026-03-03,WASHING,728
2026-03-03,PACKING,707
2026-03-04,KNITTING,907
2026-03-04,ASSEMBLY,901
2026-03-04,WASHING,702
2026-03-04,PACKING,721
2026-03-05,KNITTING,868
2026-03-05,ASSEMBLY,762
2026-03-05,WASHING,680
2026-03-05,PACKING,676
2026-03-06,KNITTING,1011
2026-03-06,ASSEMBLY,733
2026-03-06,WASHING,790
